"speaker","count","Exact_age","Age_range","Gender","total","age_bins"
"S0292",2,81,"80-89","Female",4031,"70+"
"S0293",37,21,"19-29","Female",8240,"20-29"
"S0294",9,77,"70-79","Male",5629,"70+"
"S0295",0,76,"70-79","Female",890,"70+"
"S0297",24,29,"19-29","Male",7657,"20-29"
"S0298",6,44,"40-49","Male",2098,"40-49"
"S0299",19,67,"60-69","Female",15774,"60-69"
"S0300",11,45,"40-49","Female",10692,"40-49"
"S0301",38,73,"70-79","Male",6519,"70+"
"S0302",5,56,"50-59","Female",3813,"50-59"
"S0303",39,41,"40-49","Female",17420,"40-49"
"S0304",11,44,"40-49","Male",4578,"40-49"
"S0305",11,42,"40-49","Female",2496,"40-49"
"S0306",3,29,"19-29","Male",1044,"20-29"
"S0307",7,30,"30-39","Female",3459,"30-39"
"S0308",10,67,"60-69","Male",6419,"60-69"
"S0309",20,76,"70-79","Male",8574,"70+"
"S0310",20,62,"60-69","Female",5637,"60-69"
"S0311",1,30,"30-39","Female",2371,"30-39"
"S0312",2,32,"30-39","Male",1379,"30-39"
"S0313",2,27,"19-29","Female",3093,"20-29"
"S0314",13,61,"60-69","Female",7475,"60-69"
"S0315",18,36,"30-39","Female",15766,"30-39"
"S0316",16,30,"30-39","Female",13776,"30-39"
"S0317",4,48,"40-49","Female",4128,"40-49"
"S0318",10,48,"40-49","Male",7704,"40-49"
"S0319",9,43,"40-49","Female",11859,"40-49"
"S0320",136,34,"30-39","Female",37234,"30-39"
"S0321",19,33,"30-39","Female",4643,"30-39"
"S0322",35,39,"30-39","Female",14694,"30-39"
"S0323",10,39,"30-39","Female",6240,"30-39"
"S0324",73,14,"11-18","Female",28467,"10-19"
"S0325",120,13,"11-18","Female",45925,"10-19"
"S0326",131,20,"19-29","Male",95797,"20-29"
"S0327",51,76,"70-79","Female",28127,"70+"
"S0328",104,29,"19-29","Female",77855,"20-29"
"S0329",42,50,"50-59","Female",32818,"50-59"
"S0330",50,27,"19-29","Female",43009,"20-29"
"S0331",25,31,"30-39","Male",36000,"30-39"
"S0334",10,40,"40-49","Female",6759,"40-49"
"S0335",33,38,"30-39","Female",9651,"30-39"
"S0336",222,24,"19-29","Female",97971,"20-29"
"S0337",55,24,"19-29","Male",48809,"20-29"
"S0338",9,57,"50-59","Female",20909,"50-59"
"S0339",34,56,"50-59","Male",17811,"50-59"
"S0340",0,87,"80-89","Male",330,"70+"
"S0341",7,55,"50-59","Female",1995,"50-59"
"S0342",8,23,"19-29","Male",5566,"20-29"
"S0343",2,55,"50-59","Male",7374,"50-59"
"S0344",20,25,"19-29","Female",18377,"20-29"
"S0345",16,25,"19-29","Female",4669,"20-29"
"S0346",11,24,"19-29","Female",9499,"20-29"
"S0347",1,24,"19-29","Male",2996,"20-29"
"S0349",6,25,"19-29","Female",5389,"20-29"
"S0350",12,25,"19-29","Female",6773,"20-29"
"S0351",0,20,"19-29","Male",529,"20-29"
"S0352",5,18,"11-18","Male",8670,"10-19"
"S0353",10,67,"60-69","Male",15133,"60-69"
"S0354",17,72,"70-79","Female",9698,"70+"
"S0355",2,64,"60-69","Male",17627,"60-69"
"S0356",0,83,"80-89","Male",714,"70+"
"S0357",8,21,"19-29","Female",3337,"20-29"
"S0358",3,53,"50-59","Male",6703,"50-59"
"S0359",2,61,"60-69","Male",716,"60-69"
"S0360",6,68,"60-69","Female",5852,"60-69"
"S0361",15,38,"30-39","Female",5309,"30-39"
"S0362",17,25,"19-29","Male",11261,"20-29"
"S0363",6,24,"19-29","Female",8120,"20-29"
"S0364",4,33,"30-39","Male",4635,"30-39"
"S0365",3,62,"60-69","Male",1941,"60-69"
"S0366",4,55,"50-59","Female",2362,"50-59"
"S0367",5,31,"30-39","Male",1827,"30-39"
"S0368",3,82,"80-89","Female",15084,"70+"
"S0369",52,82,"80-89","Male",39869,"70+"
"S0370",25,62,"60-69","Male",21899,"60-69"
"S0371",3,NA,"Unknown","Male",6071,NA
"S0372",7,65,"60-69","Male",9479,"60-69"
"S0373",0,59,"50-59","Male",385,"50-59"
"S0374",2,24,"19-29","Female",4017,"20-29"
"S0375",10,24,"19-29","Female",7645,"20-29"
"S0376",0,47,"40-49","Female",5691,"40-49"
"S0377",3,23,"19-29","Female",4013,"20-29"
"S0378",19,23,"19-29","Female",5094,"20-29"
"S0379",1,53,"50-59","Female",5571,"50-59"
"S0380",8,20,"19-29","Male",5605,"20-29"
"S0381",14,45,"40-49","Female",10164,"40-49"
"S0382",31,63,"60-69","Male",18905,"60-69"
"S0383",47,30,"30-39","Male",19409,"30-39"
"S0384",4,20,"19-29","Male",3886,"20-29"
"S0386",8,NA,"Unknown","Male",3034,NA
"S0387",3,21,"19-29","Male",3176,"20-29"
"S0388",5,52,"50-59","Female",3078,"50-59"
"S0389",6,64,"60-69","Female",3819,"60-69"
"S0390",32,76,"70-79","Female",19073,"70+"
"S0391",17,55,"50-59","Female",40040,"50-59"
"S0392",53,15,"11-18","Male",63623,"10-19"
"S0393",12,47,"40-49","Male",19711,"40-49"
"S0394",1,65,"60-69","Female",1595,"60-69"
"S0395",2,37,"30-39","Female",1643,"30-39"
"S0396",0,64,"60-69","Female",256,"60-69"
"S0397",13,57,"50-59","Female",11168,"50-59"
"S0398",1,87,"80-89","Female",1351,"70+"
"S0399",1,60,"60-69","Male",1047,"60-69"
"S0400",4,22,"19-29","Male",2610,"20-29"
"S0401",1,57,"50-59","Male",3034,"50-59"
"S0402",10,16,"11-18","Male",18137,"10-19"
"S0403",1,16,"11-18","Male",1441,"10-19"
"S0404",1,16,"11-18","Male",1304,"10-19"
"S0405",46,17,"11-18","Male",61634,"10-19"
"S0406",0,23,"19-29","Male",699,"20-29"
"S0407",4,47,"40-49","Female",1163,"40-49"
"S0408",0,50,"50-59","Female",1641,"50-59"
"S0409",2,47,"40-49","Female",2420,"40-49"
"S0410",1,45,"40-49","Male",1080,"40-49"
"S0411",20,46,"40-49","Female",9687,"40-49"
"S0412",0,8,"0-10","Female",259,"0-9"
"S0413",0,14,"11-18","Female",36,"10-19"
"S0414",0,17,"11-18","Female",43,"10-19"
"S0415",62,46,"40-49","Male",26941,"40-49"
"S0416",71,12,"11-18","Male",49647,"10-19"
"S0417",207,45,"40-49","Female",88937,"40-49"
"S0418",0,2,"0-10","Male",2547,"0-9"
"S0419",3,65,"60-69","Male",13633,"60-69"
