speaker	gender	age_group	count	total	rate_pmw
S0618	Female	40-49	158	97580	1619.1842590694814
S0619	Female	19-29	30	81316	368.9310836735698
S0620	Female	19-29	2	3726	536.7686527106817
S0621	Female	0-10	0	1307	0
S0622	Female	0-10	13	16250	800
S0623	Female	19-29	47	32525	1445.0422751729438
S0624	Female	19-29	24	16348	1468.0694886224614
S0625	Female	50-59	7	1999	3501.750875437719
S0626	Male	19-29	16	5258	3042.9821224800307
S0627	Female	19-29	22	8380	2625.2983293556085
S0628	Female	19-29	10	5791	1726.817475392851
S0629	Male	30-39	2	2419	826.7879288962381
S0630	Male	80-89	0	569	0
S0631	Female	19-29	16	7867	2033.8121266048051
S0632	Female	19-29	35	28815	1214.6451500954363
S0633	Male	40-49	1	1019	981.3542688910696
S0634	Female	50-59	1	1346	742.9420505200594
S0635	Male	19-29	8	11440	699.3006993006993
S0636	Female	70-79	2	5531	361.59826432833125
S0637	Male	50-59	4	4368	915.7509157509157
S0638	Female	40-49	4	7907	505.8808650562792
S0639	Female	40-49	0	2059	0
S0640	Male	40-49	15	5205	2881.844380403458
S0641	Male	19-29	28	14781	1894.3237940599417
S0642	Male	70-79	0	1540	0
S0644	Female	30-39	29	21202	1367.7954909914158
S0645	Male	30-39	16	9498	1684.565171615077
S0646	Female	50-59	25	5683	4399.084990322013
S0647	Male	80-89	8	2433	3288.1216605014383
S0648	Female	40-49	2	1095	1826.4840182648402
S0649	Female	70-79	4	2408	1661.1295681063123
S0650	Male	80-89	16	7348	2177.4632553075667
S0651	Male	50-59	30	9273	3235.198964736331
S0652	Male	30-39	3	7792	385.01026694045174
S0653	Female	30-39	149	157667	945.0297145249165
S0654	Female	0-10	92	61719	1490.626873410133
S0655	Male	0-10	108	60570	1783.0609212481427
S0656	Male	19-29	0	826	0
S0660	Female	19-29	4	5071	788.7990534411359
S0661	Male	30-39	16	7098	2254.1561003099464
S0662	Female	90-99	2	11996	166.72224074691562
S0663	Female	50-59	46	16585	2773.5905939101594
S0664	Female	80-89	0	2435	0
S0665	Male	80-89	0	1050	0
S0666	Female	50-59	4	11979	333.9176892895901
S0668	Male	30-39	9	7084	1270.4686617730094
S0669	Female	19-29	7	2616	2675.840978593272
S0670	Male	19-29	7	11569	605.0652606102515
S0671	Male	19-29	38	19686	1930.3058010769075
S0672	Male	19-29	3	3224	930.5210918114144
S0673	Female	19-29	0	1654	0
S0674	Male	19-29	11	5889	1867.889285107828
S0675	Male	19-29	9	3119	2885.5402372555304
S0677	Female	19-29	0	853	0
S0678	Male	19-29	13	3859	3368.7483804094327
S0679	Female	50-59	30	21378	1403.3118158854898
S0680	Female	60-69	27	22786	1184.9381198981832
S0681	Male	60-69	13	6270	2073.365231259968
S0682	Male	19-29	0	1797	0
S0683	Female	11-18	0	957	0
S0684	Female	50-59	3	3872	774.7933884297521
S0685	Male	50-59	16	5304	3016.5912518853697
S0686	Male	19-29	8	6972	1147.4469305794605
S0687	Female	19-29	15	44079	340.2981011365957
S0688	Female	50-59	13	32479	400.25862865236
S0689	Male	11-18	19	32809	579.109390715962
S0690	Male	50-59	12	12021	998.2530571499876
S0691	Female	40-49	1	2135	468.384074941452
S0692	Male	19-29	1	1105	904.9773755656109
