speaker	gender	age_group	count	total	rate_pmw
S0144	Male	30-39	119	144222	825.1168337701599
S0145	Female	19-29	6	2049	2928.2576866764275
S0146	Female	30-39	80	18077	4425.513082923051
S0147	Female	50-59	7	2490	2811.244979919679
S0148	Female	19-29	2	1334	1499.2503748125937
S0149	Female	19-29	4	2531	1580.4030027657052
S0150	Female	50-59	4	863	4634.994206257242
S0151	Male	19-29	23	4509	5100.909292526058
S0152	Male	50-59	84	128107	655.7018742145237
S0153	Female	11-18	6	8406	713.7758743754462
S0154	Female	11-18	25	15715	1590.8367801463571
S0155	Male	40-49	1	1275	784.313725490196
S0156	Female	19-29	0	122	0
S0157	Female	19-29	9	3314	2715.751357875679
S0158	Male	50-59	5	2731	1830.831197363603
S0159	Male	19-29	0	497	0
S0160	Female	19-29	0	373	0
S0161	Female	70-79	6	3420	1754.3859649122808
S0162	Female	30-39	45	10286	4374.8784755979
S0163	Female	60-69	0	643	0
S0164	Male	30-39	0	683	0
S0165	Female	19-29	1	648	1543.2098765432097
S0166	Female	50-59	0	835	0
S0167	Female	19-29	92	56570	1626.303694537741
S0168	Female	19-29	1	441	2267.573696145125
S0169	Male	30-39	5	3271	1528.584530724549
S0170	Female	30-39	9	12958	694.5516283377065
S0171	Female	19-29	25	7720	3238.341968911917
S0172	Female	60-69	10	6642	1505.570611261668
S0173	Female	19-29	23	9440	2436.4406779661017
S0174	Male	60-69	2	1003	1994.0179461615153
S0175	Female	30-39	7	3727	1878.1862087469815
S0176	Female	50-59	1	1848	541.1255411255411
S0177	Male	19-29	5	2347	2130.3792074989346
S0178	Female	11-18	0	585	0
S0179	Male	19-29	429	96053	4466.284238909769
S0180	Male	30-39	20	21640	924.2144177449168
S0181	Male	30-39	15	3537	4240.882103477523
S0182	Female	19-29	16	2721	5880.191106210952
S0183	Female	30-39	8	3360	2380.952380952381
S0184	Male	19-29	0	2724	0
S0185	Male	50-59	0	1822	0
S0186	Male	30-39	7	2125	3294.117647058824
S0187	Male	19-29	22	14558	1511.1965929385904
S0188	Male	19-29	2	4723	423.4596654668643
S0189	Male	19-29	30	18023	1664.5397547578095
S0190	Female	50-59	6	24564	244.25989252564727
S0191	Male	0-10	0	1621	0
S0192	Male	19-29	481	362107	1328.3366518736175
S0193	Female	50-59	3	12395	242.0330778539734
S0194	Female	30-39	24	11835	2027.8833967046894
S0195	Male	19-29	17	5598	3036.7988567345483
S0196	Female	30-39	11	10981	1001.7302613605319
S0197	Male	50-59	15	17059	879.301248607773
S0198	Female	19-29	252	164818	1528.9592156196534
S0199	Female	50-59	25	52249	478.4780569963062
S0200	Male	19-29	2	2773	721.2405337179949
