text_id	modal	n_tokens	corpus	genre	text_category	n_words	time_period	variety
A11	shall	0	Brown	press	press_reportage	2284	1961	AmE
A11	should	0	Brown	press	press_reportage	2284	1961	AmE
A11	will	5	Brown	press	press_reportage	2284	1961	AmE
A11	would	1	Brown	press	press_reportage	2284	1961	AmE
A12	can	4	Brown	press	press_reportage	2319	1961	AmE
A12	could	1	Brown	press	press_reportage	2319	1961	AmE
A12	may	0	Brown	press	press_reportage	2319	1961	AmE
A12	might	0	Brown	press	press_reportage	2319	1961	AmE
A12	must	0	Brown	press	press_reportage	2319	1961	AmE
A12	shall	0	Brown	press	press_reportage	2319	1961	AmE
A12	should	0	Brown	press	press_reportage	2319	1961	AmE
A12	will	15	Brown	press	press_reportage	2319	1961	AmE
A12	would	3	Brown	press	press_reportage	2319	1961	AmE
A13	can	4	Brown	press	press_reportage	2276	1961	AmE
A13	could	0	Brown	press	press_reportage	2276	1961	AmE
A13	may	0	Brown	press	press_reportage	2276	1961	AmE
A13	might	1	Brown	press	press_reportage	2276	1961	AmE
A13	must	0	Brown	press	press_reportage	2276	1961	AmE
A13	shall	0	Brown	press	press_reportage	2276	1961	AmE
A13	should	0	Brown	press	press_reportage	2276	1961	AmE
A13	will	8	Brown	press	press_reportage	2276	1961	AmE
A13	would	2	Brown	press	press_reportage	2276	1961	AmE
A14	can	2	Brown	press	press_reportage	2319	1961	AmE
A14	could	1	Brown	press	press_reportage	2319	1961	AmE
A14	may	0	Brown	press	press_reportage	2319	1961	AmE
A14	might	0	Brown	press	press_reportage	2319	1961	AmE
A14	must	2	Brown	press	press_reportage	2319	1961	AmE
A14	shall	0	Brown	press	press_reportage	2319	1961	AmE
A14	should	0	Brown	press	press_reportage	2319	1961	AmE
A14	will	22	Brown	press	press_reportage	2319	1961	AmE
A14	would	5	Brown	press	press_reportage	2319	1961	AmE
A15	can	1	Brown	press	press_reportage	2335	1961	AmE
A15	could	8	Brown	press	press_reportage	2335	1961	AmE
A15	may	1	Brown	press	press_reportage	2335	1961	AmE
A15	might	3	Brown	press	press_reportage	2335	1961	AmE
A15	must	0	Brown	press	press_reportage	2335	1961	AmE
A15	shall	0	Brown	press	press_reportage	2335	1961	AmE
A15	should	4	Brown	press	press_reportage	2335	1961	AmE
A15	will	8	Brown	press	press_reportage	2335	1961	AmE
A15	would	5	Brown	press	press_reportage	2335	1961	AmE
A16	can	5	Brown	press	press_reportage	2405	1961	AmE
A16	could	0	Brown	press	press_reportage	2405	1961	AmE
A16	may	1	Brown	press	press_reportage	2405	1961	AmE
A16	might	0	Brown	press	press_reportage	2405	1961	AmE
A16	must	1	Brown	press	press_reportage	2405	1961	AmE
A16	shall	0	Brown	press	press_reportage	2405	1961	AmE
A16	should	2	Brown	press	press_reportage	2405	1961	AmE
A16	will	39	Brown	press	press_reportage	2405	1961	AmE
A16	would	1	Brown	press	press_reportage	2405	1961	AmE
A17	can	5	Brown	press	press_reportage	2280	1961	AmE
A17	could	0	Brown	press	press_reportage	2280	1961	AmE
A17	may	0	Brown	press	press_reportage	2280	1961	AmE
A17	might	0	Brown	press	press_reportage	2280	1961	AmE
A17	must	0	Brown	press	press_reportage	2280	1961	AmE
A17	shall	0	Brown	press	press_reportage	2280	1961	AmE
A17	should	0	Brown	press	press_reportage	2280	1961	AmE
A17	will	24	Brown	press	press_reportage	2280	1961	AmE
A17	would	0	Brown	press	press_reportage	2280	1961	AmE
A18	can	1	Brown	press	press_reportage	2310	1961	AmE
A18	could	0	Brown	press	press_reportage	2310	1961	AmE
A18	may	2	Brown	press	press_reportage	2310	1961	AmE
A18	might	0	Brown	press	press_reportage	2310	1961	AmE
A18	must	0	Brown	press	press_reportage	2310	1961	AmE
A18	shall	0	Brown	press	press_reportage	2310	1961	AmE
A18	should	0	Brown	press	press_reportage	2310	1961	AmE
A18	will	29	Brown	press	press_reportage	2310	1961	AmE
A18	would	2	Brown	press	press_reportage	2310	1961	AmE
A19	can	2	Brown	press	press_reportage	2257	1961	AmE
A19	could	0	Brown	press	press_reportage	2257	1961	AmE
A19	may	0	Brown	press	press_reportage	2257	1961	AmE
A19	might	0	Brown	press	press_reportage	2257	1961	AmE
A19	must	2	Brown	press	press_reportage	2257	1961	AmE
A19	shall	0	Brown	press	press_reportage	2257	1961	AmE
A19	should	7	Brown	press	press_reportage	2257	1961	AmE
A19	will	13	Brown	press	press_reportage	2257	1961	AmE
A19	would	2	Brown	press	press_reportage	2257	1961	AmE
A20	can	0	Brown	press	press_reportage	2301	1961	AmE
A20	could	4	Brown	press	press_reportage	2301	1961	AmE
A20	may	1	Brown	press	press_reportage	2301	1961	AmE
A20	might	0	Brown	press	press_reportage	2301	1961	AmE
A20	must	0	Brown	press	press_reportage	2301	1961	AmE
A20	shall	0	Brown	press	press_reportage	2301	1961	AmE
A20	should	0	Brown	press	press_reportage	2301	1961	AmE
A20	will	2	Brown	press	press_reportage	2301	1961	AmE
A20	would	8	Brown	press	press_reportage	2301	1961	AmE
A21	can	0	Brown	press	press_reportage	2252	1961	AmE
A21	could	2	Brown	press	press_reportage	2252	1961	AmE
A21	may	0	Brown	press	press_reportage	2252	1961	AmE
A21	might	0	Brown	press	press_reportage	2252	1961	AmE
A21	must	1	Brown	press	press_reportage	2252	1961	AmE
A21	shall	0	Brown	press	press_reportage	2252	1961	AmE
A21	should	2	Brown	press	press_reportage	2252	1961	AmE
